DescriptorClass,DescriptorUI,NLMClassificationNumber,DescriptorName,DateCreated,Annotation,AllowableQualifiersList,PharmacologicalActionList,OnlineNote,HistoryNote,PublicMeSHNote
{'DescriptorClass': '1'},D000001,,,,,,,use CALCIMYCIN to search A 23187 1975-90,91(75); was A 23187 1975-90 (see under ANTIBIOTICS 1975-83),91; was A 23187 1975-90 (see under ANTIBIOTICS 1975-83)
{'DescriptorClass': '1'},D000002,,,,"for use to kill or control insects, use no qualifiers on the insecticide or the insect; appropriate qualifiers may be used when other aspects of the insecticide are discussed such as the effect on a physiologic process or behavioral aspect of the insect; for poisoning, coordinate with ORGANOPHOSPHATE POISONING",,,,"96; was ABATE 1972-95 (see under INSECTICIDES, ORGANOTHIOPHOSPHATE 1972-90)","96; was ABATE 1972-95 (see under INSECTICIDES, ORGANOTHIOPHOSPHATE 1972-90)"
{'DescriptorClass': '1'},D000003,WA 707,,,,,,,,
{'DescriptorClass': '1'},D000004,,,,includes acronyms; do not confuse with Publication Type ABBREVIATIONS,,,,2008(1963),2008; see ABBREVIATIONS 1963-2007
{'DescriptorClass': '1'},D000005,,,,"GEN: prefer specifics; abdom muscles = ABDOMINAL MUSCLES but RECTUS ABDOMINIS is available; abdominal pain = ABDOMINAL PAIN; abrupt dis requiring emerg surg = ABDOMEN, ACUTE",,,,,
{'DescriptorClass': '1'},D000006,,,,,,,,,
{'DescriptorClass': '1'},D000007,WI 900,,,general term for inj of organs in the abdom cavity; prefer specific organs /inj,,,,,
{'DescriptorClass': '1'},D000008,,,,general term for neoplasms of organs in the abdominal cavity; prefer specific organ/neoplasm terms; coordinate IM with histological type of neoplasm if given (IM),,,,,
{'DescriptorClass': '1'},D000009,WE 757,,,/growth: coordinate with MUSCLE DEVELOPMENT; /embryol: coordinate with MUSCLE DEVELOPMENT if pertinent,,,use ABDOMINAL MUSCLES to search ABDOMINAL WALL 1966-92,93; was ABDOMINAL WALL 1966-92,93; was ABDOMINAL WALL 1963-92
{'DescriptorClass': '1'},D000010,WL 330,,,neoplasms = ABDUCENS NERVE DISEASES (IM) + CRANIAL NERVE NEOPLASMS (IM) + histological type of neoplasm (IM),,,use ABDUCENS NERVE to search ABDUCENT NERVE 1966-76,77; was ABDUCENT NERVE 1963-76,77; was ABDUCENT NERVE 1963-76
{'DescriptorClass': '1'},D000011,,,,"infection: coordinate with RETROVIRIDAE INFECTIONS + TUMOR VIRUS INFECTIONS + LEUKEMIA, EXPERIMENTAL",,,,2002 (1980),"2002; see ABELSON LEUKEMIA VIRUS 1991-2001, see MOUSE LEUKEMIA VIRUSES 1980-1990"
{'DescriptorClass': '1'},D000012,,,,,,,,1966(1964),1966
{'DescriptorClass': '1'},D000013,,,,general only; prefer specifics or /abnorm with specific anatomical term or specific animal,,,,2008 (1963),2008; see ABNORMALITIES 1963-2007
{'DescriptorClass': '1'},D000014,QS 679,,,"IM; do not use /chem ind /compl /congen & do not coord with INFANT, NEWBORN, DISEASES; coord IM with specific chem /adv eff-pois-tox (IM) + specific organ /abnorm or specific abnorm /chem ind (IM); Manual 23.20.3",,,,64,64
{'DescriptorClass': '1'},D000015,QS 675,,,coordinate with specific abnormalities,,,,68,68
{'DescriptorClass': '1'},D000016,QS 681,,,coordinate with specific abnormality,,,,79,79
{'DescriptorClass': '1'},D000017,WH 420,,,"IM; coord with disease /blood (IM), not /immunol nor /genet; TN 230",,,use ABO BLOOD-GROUP SYSTEM to search ABO FACTORS 1966-75,76; was ABO FACTORS 1963-75,76; was ABO FACTORS 1963-75
{'DescriptorClass': '1'},D000018,QL 862,,,a ruminant's 4th stomach; dis: coord IM with STOMACH DISEASES /vet (IM); neopl: coord IM with STOMACH NEOPLASMS /vet (IM) + histol type /vet (IM); ulcer: coord IM with STOMACH ULCER /vet (IM),,,,68,68
{'DescriptorClass': '1'},D000019,QV 175,,,use no qualifiers for abortifacients when used to interrupt pregnancy; note entry term ABORTIFACIENT EFFECT: use only for the abortifacient effect of a chemical substance,,,,75,75
{'DescriptorClass': '1'},D000020,QV 175,,,do not use /ther use for use of the abortifacients as abortifacients,,,,91(75); was see under ABORTIFACIENT AGENTS 1975-90,91; was see under ABORTIFACIENT AGENTS 1975-90
{'DescriptorClass': '1'},D000021,QV 175,,,do not use /ther use for use of the abortifacients as abortifacients,,,,91(75); was see under ABORTIFACIENT AGENTS 1975-90,91; was see under ABORTIFACIENT AGENTS 1975-90
{'DescriptorClass': '1'},D000022,,,,"/chem ind permitted but do not confuse with ABORTION, INDUCED; check the tags HUMANS & FEMALE & PREGNANCY",,,,99(63),"99; see ABORTION 1966-98; for ABORTION, SPONTANEOUS see ABORTION 1992-98"
{'DescriptorClass': '1'},D000023,,,,don't forget also check tags HUMANS & FEMALE & PREGNANCY,,,,76(75); was see under ABORTION 1975,76; was see under ABORTION 1975
{'DescriptorClass': '1'},D000024,W 867,,,"don't forget also check tags HUMANS & FEMALE & PREGNANCY; for abortifacients in crim abort see note on ABORTION, INDUCED",,,,,
{'DescriptorClass': '1'},D000025,,,,add HUMANS or ANIMALS & FEMALE & PREGNANCY,,,,"91(75); was see under ABORTION, INDUCED 1975-90","91; was see under ABORTION, INDUCED 1975-90"
{'DescriptorClass': '1'},D000026,WQ 225,,,,,,,,
{'DescriptorClass': '1'},D000027,WQ 225,,,"restrict to spontaneous, not induced abortions; check the tags FEMALE & PREGNANCY",,,,75,75
{'DescriptorClass': '1'},D000028,,,,"for use of an abortifacient, coordinate with abortifacient agent with no qualifiers, not  /adv eff unless text specifically discusses adverse effects;  check the tags FEMALE & PREGNANCY",,,"use ABORTION, INDUCED to search EMBRYOTOMY 1966-85; search ABORTION, CRIMINAL & ABORTION, LEGAL & ABORTION, THERAPEUTIC 1966-70","71; was see under ABORTION, CRIMINAL & ABORTION, THERAPEUTIC 1963-70, was see under ABORTION, LEGAL 1964-70; EMBRYOTOMY was heading 1963-85","71; was see under ABORTION, CRIMINAL & ABORTION, THERAPEUTIC 1963-70, was see under ABORTION, LEGAL 1964-70; EMBRYOTOMY was heading 1963-85"
